,Country,POL,Year,Value
0,Australia,SOX,1990,1585.187
1,Australia,SOX,1991,1569.962
2,Australia,SOX,1992,1652.023
3,Australia,SOX,1993,1742.301
4,Australia,SOX,1994,1764.29
5,Australia,SOX,1995,1673.394
6,Australia,SOX,1996,1761.397
7,Australia,SOX,1997,1817.485
8,Australia,SOX,1998,1742.829
9,Australia,SOX,1999,1831.736
10,Australia,SOX,2000,2342.481
11,Australia,SOX,2001,2584.435
12,Australia,SOX,2002,2774.853
13,Australia,SOX,2003,2774.556
14,Australia,SOX,2004,2512.307
15,Australia,SOX,2005,2520.124
16,Australia,SOX,2006,2482.611
17,Australia,SOX,2007,2444.737
18,Australia,SOX,2008,2512.359
19,Australia,SOX,2009,2597.916
20,Australia,SOX,2010,2378.108
21,Australia,SOX,2011,2507.008
22,Australia,SOX,2012,2518.091
23,Australia,SOX,2013,2414.181
24,Australia,SOX,2014,2499.707
25,Australia,SOX,2015,2384.848
26,Australia,SOX,2016,2465.66
27,Australia,SOX,2017,2287.733
28,Australia,SOX,2018,2083.047
29,Australia,SOX,2019,2152.252
31,Australia,SOX,1990,39.215
32,Australia,SOX,1991,34.644
33,Australia,SOX,1992,34.213
34,Australia,SOX,1993,31.367
35,Australia,SOX,1994,28.731
36,Australia,SOX,1995,35.294
37,Australia,SOX,1996,36.483
38,Australia,SOX,1997,36.21
39,Australia,SOX,1998,32.265
40,Australia,SOX,1999,28.787
41,Australia,SOX,2000,30.657
42,Australia,SOX,2001,29.919
43,Australia,SOX,2002,29.966
44,Australia,SOX,2003,30.794
45,Australia,SOX,2004,32.345
46,Australia,SOX,2005,32.776
47,Australia,SOX,2006,31.986
48,Australia,SOX,2007,34.22
49,Australia,SOX,2008,31.279
50,Australia,SOX,2009,32.657
51,Australia,SOX,2010,32.735
52,Australia,SOX,2011,32.355
53,Australia,SOX,2012,31.055
54,Australia,SOX,2013,27.754
55,Australia,SOX,2014,28.485
56,Australia,SOX,2015,29.26
57,Australia,SOX,2016,29.853
58,Australia,SOX,2017,31.696
59,Australia,SOX,2018,33.829
60,Australia,SOX,2019,34.52
62,Australia,SOX,1990,9.026
63,Australia,SOX,1991,8.725
64,Australia,SOX,1992,8.816
65,Australia,SOX,1993,9.218
66,Australia,SOX,1994,9.632
67,Australia,SOX,1995,10.278
68,Australia,SOX,1996,10.831
69,Australia,SOX,1997,11.397
70,Australia,SOX,1998,11.845
71,Australia,SOX,1999,11.811
72,Australia,SOX,2000,12.158
73,Australia,SOX,2001,11.728
74,Australia,SOX,2002,12.4
75,Australia,SOX,2003,12.741
76,Australia,SOX,2004,13.068
77,Australia,SOX,2005,13.358
78,Australia,SOX,2006,13.843
79,Australia,SOX,2007,14.923
80,Australia,SOX,2008,14.776
81,Australia,SOX,2009,14.663
82,Australia,SOX,2010,14.623
83,Australia,SOX,2011,15.47
84,Australia,SOX,2012,16.197
85,Australia,SOX,2013,16.427
86,Australia,SOX,2014,17.123
87,Australia,SOX,2015,17.04
88,Australia,SOX,2016,16.926
89,Australia,SOX,2017,16.715
90,Australia,SOX,2018,17.27
91,Australia,SOX,2019,17.631
93,Australia,SOX,1990,30.19
94,Australia,SOX,1991,25.919
95,Australia,SOX,1992,25.397
96,Australia,SOX,1993,22.149
97,Australia,SOX,1994,19.1
98,Australia,SOX,1995,25.016
99,Australia,SOX,1996,25.652
100,Australia,SOX,1997,24.813
101,Australia,SOX,1998,20.421
102,Australia,SOX,1999,16.976
103,Australia,SOX,2000,18.499
104,Australia,SOX,2001,18.191
105,Australia,SOX,2002,17.567
106,Australia,SOX,2003,18.054
107,Australia,SOX,2004,19.277
108,Australia,SOX,2005,19.418
109,Australia,SOX,2006,18.142
110,Australia,SOX,2007,19.297
111,Australia,SOX,2008,16.503
112,Australia,SOX,2009,17.995
113,Australia,SOX,2010,18.112
114,Australia,SOX,2011,16.885
115,Australia,SOX,2012,14.858
116,Australia,SOX,2013,11.326
117,Australia,SOX,2014,11.362
118,Australia,SOX,2015,12.22
119,Australia,SOX,2016,12.927
120,Australia,SOX,2017,14.982
121,Australia,SOX,2018,16.559
122,Australia,SOX,2019,16.889
124,Australia,SOX,1990,1545.972
125,Australia,SOX,1991,1535.317
126,Australia,SOX,1992,1617.81
127,Australia,SOX,1993,1710.934
128,Australia,SOX,1994,1735.559
129,Australia,SOX,1995,1638.101
130,Australia,SOX,1996,1724.915
131,Australia,SOX,1997,1781.275
132,Australia,SOX,1998,1710.564
133,Australia,SOX,1999,1802.949
134,Australia,SOX,2000,2311.824
135,Australia,SOX,2001,2554.516
136,Australia,SOX,2002,2744.886
137,Australia,SOX,2003,2743.762
138,Australia,SOX,2004,2479.962
139,Australia,SOX,2005,2487.348
140,Australia,SOX,2006,2450.625
141,Australia,SOX,2007,2410.518
142,Australia,SOX,2008,2481.08
143,Australia,SOX,2009,2565.259
144,Australia,SOX,2010,2345.373
145,Australia,SOX,2011,2474.653
146,Australia,SOX,2012,2487.036
147,Australia,SOX,2013,2386.427
148,Australia,SOX,2014,2471.222
149,Australia,SOX,2015,2355.588
150,Australia,SOX,2016,2435.807
151,Australia,SOX,2017,2256.037
152,Australia,SOX,2018,2049.218
153,Australia,SOX,2019,2117.733
155,Australia,SOX,1990,391.612
156,Australia,SOX,1991,401.587
157,Australia,SOX,1992,399.409
158,Australia,SOX,1993,407.699
159,Australia,SOX,1994,409.055
160,Australia,SOX,1995,426.546
161,Australia,SOX,1996,449.697
162,Australia,SOX,1997,478.412
163,Australia,SOX,1998,482.724
164,Australia,SOX,1999,494.915
165,Australia,SOX,2000,525.441
166,Australia,SOX,2001,560.13
167,Australia,SOX,2002,587.003
168,Australia,SOX,2003,630.593
169,Australia,SOX,2004,613.391
170,Australia,SOX,2005,594.163
171,Australia,SOX,2006,636.788
172,Australia,SOX,2007,613.741
173,Australia,SOX,2008,638.29
174,Australia,SOX,2009,631.394
175,Australia,SOX,2010,610.08
176,Australia,SOX,2011,587.026
177,Australia,SOX,2012,582.15
178,Australia,SOX,2013,554.943
179,Australia,SOX,2014,540.101
180,Australia,SOX,2015,542.8
181,Australia,SOX,2016,529.733
182,Australia,SOX,2017,525.305
183,Australia,SOX,2018,525.873
184,Australia,SOX,2019,453.914
186,Australia,SOX,1990,129.476
187,Australia,SOX,1991,123.471
188,Australia,SOX,1992,121.061
189,Australia,SOX,1993,118.363
190,Australia,SOX,1994,114.977
191,Australia,SOX,1995,114.741
192,Australia,SOX,1996,108.245
193,Australia,SOX,1997,115.937
194,Australia,SOX,1998,110.561
195,Australia,SOX,1999,114.183
196,Australia,SOX,2000,120.896
197,Australia,SOX,2001,109.279
198,Australia,SOX,2002,112.98
199,Australia,SOX,2003,112.525
200,Australia,SOX,2004,113.481
201,Australia,SOX,2005,117.276
202,Australia,SOX,2006,118.03
203,Australia,SOX,2007,115.35
204,Australia,SOX,2008,123.325
205,Australia,SOX,2009,113.668
206,Australia,SOX,2010,116.47
207,Australia,SOX,2011,113.643
208,Australia,SOX,2012,113.448
209,Australia,SOX,2013,117.985
210,Australia,SOX,2014,111.698
211,Australia,SOX,2015,89.442
212,Australia,SOX,2016,85.365
213,Australia,SOX,2017,83.032
214,Australia,SOX,2018,81.726
215,Australia,SOX,2019,95.407
217,Australia,SOX,1990,125.049
218,Australia,SOX,1991,119.21
219,Australia,SOX,1992,117.091
220,Australia,SOX,1993,114.492
221,Australia,SOX,1994,111.246
222,Australia,SOX,1995,111.089
223,Australia,SOX,1996,104.796
224,Australia,SOX,1997,112.777
225,Australia,SOX,1998,107.658
226,Australia,SOX,1999,111.302
227,Australia,SOX,2000,117.613
228,Australia,SOX,2001,106.078
229,Australia,SOX,2002,109.948
